# File Name: Hebrew_Lexicon_Tyndale.txt
# File Size: 4349020     
# File Date: 06/01/2026 18:30:14
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Hebrew Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Abridged BDB by https://onlinebible.net, edited by Tyndale House Cambridge
# Source Definitions Copyright: Larry Pierce, larrypierce@alumni.uwaterloo.ca
# Source Definitions Copyright: Explicit usage permission required to use definition in your application
# Source Definitions Copyright: Larry Pierce granted permission for Nainoia Inc applications on 3/11/2019
#
# COLUMNS
#	STRONGS	Extended Strong Numbers
#	WORD	Hebrew form	based on BDB, then normalised
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Part of speech / grammer
#	DEF		Definitions are based on the Abridged BDB by Online Bible, and edited to conform with the extended Strongs.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
1G		אָב	av	father	H:N-M	1) father of an individual 2) of God as father of his people 3) head or founder of a household, group, family, or clan 4) ancestor 4a) grandfather, forefathers - of person 4b) of people 5) originator or patron of a class, profession, or art 6) of producer, generator (fig.) 7) of benevolence and protection (fig.) 8) term of respect and honour 9) ruler or chief (spec.) Also means: <i>av</i> (אַב "father" <a href='/Strongs/strongs-h2' onclick='return ABMM("/Strongs","/strongs-h2");'>h2</a>)
1H	a Part of <a href='/Strongs/strongs-h2438H' onclick='return ABMM("/Strongs","/strongs-h2438H");'>h2438H</a>	אָב	av	(Huram)-abi	H:N-M	A man living at the time of United Monarchy, first mentioned at 1Ki.7.13; also called Huram-abi (KJV: "Huram my father's") at 2Ch.2.13; 4.16; Combined with <i>chi.ram</i> (חִירָם "Hiram" <a href='/Strongs/strongs-h2438H' onclick='return ABMM("/Strongs","/strongs-h2438H");'>h2438H</a>)
1I	a Part of <a href='/Strongs/strongs-h22G' onclick='return ABMM("/Strongs","/strongs-h22G");'>h22G</a>	אָב	av	father of	N:N-M-P	The father of Gibeon, also known as Abiel - a man of the tribe of Benjamin living at the time of United Monarchy, first mentioned at 1Sa.9.1; son of: Zeror (<a href='/Strongs/strongs-h6872C' onclick='return ABMM("/Strongs","/strongs-h6872C");'>h6872C</a>); married to Maacah (<a href='/Strongs/strongs-h4601N' onclick='return ABMM("/Strongs","/strongs-h4601N");'>h4601N</a>); father of: Kish (<a href='/Strongs/strongs-h7027G' onclick='return ABMM("/Strongs","/strongs-h7027G");'>h7027G</a>), Ner (<a href='/Strongs/strongs-h5369G' onclick='return ABMM("/Strongs","/strongs-h5369G");'>h5369G</a>), Abdon (<a href='/Strongs/strongs-h5658J' onclick='return ABMM("/Strongs","/strongs-h5658J");'>h5658J</a>), Zur (<a href='/Strongs/strongs-h6698I' onclick='return ABMM("/Strongs","/strongs-h6698I");'>h6698I</a>), Baal (<a href='/Strongs/strongs-h1168B' onclick='return ABMM("/Strongs","/strongs-h1168B");'>h1168B</a>), Nadab (<a href='/Strongs/strongs-h5070J' onclick='return ABMM("/Strongs","/strongs-h5070J");'>h5070J</a>), Gedor (<a href='/Strongs/strongs-h1446I' onclick='return ABMM("/Strongs","/strongs-h1446I");'>h1446I</a>), Ahio (<a href='/Strongs/strongs-h283I' onclick='return ABMM("/Strongs","/strongs-h283I");'>h283I</a>), Zecher (<a href='/Strongs/strongs-h2144' onclick='return ABMM("/Strongs","/strongs-h2144");'>h2144</a>) and Mikloth (<a href='/Strongs/strongs-h4732G' onclick='return ABMM("/Strongs","/strongs-h4732G");'>h4732G</a>); also called Jeiel (Ketiv: Jeuel; KJV: Jehiel) at 1Ch.9.35; Ner at 1Ch.8.33; 9.39;
2	in Aramaic of <a href='/Strongs/strongs-h1G' onclick='return ABMM("/Strongs","/strongs-h1G");'>h1G</a>	אַב	av	father	A:N-M	father Aramaic of <i>av</i> (אָב "father" <a href='/Strongs/strongs-h1' onclick='return ABMM("/Strongs","/strongs-h1");'>h1</a>)
3		אֵב	ev	greenery	H:N-M	freshness, fresh green, green shoots, or greenery Aramaic equivalent: <i>ev</i> (אֵב "fruit" <a href='/Strongs/strongs-h4' onclick='return ABMM("/Strongs","/strongs-h4");'>h4</a>)
4	in Aramaic of <a href='/Strongs/strongs-h3' onclick='return ABMM("/Strongs","/strongs-h3");'>h3</a>	אֵב	ev	fruit	A:N-M	fruit, fresh, young, greening Aramaic of <i>ev</i> (אֵב "greenery" <a href='/Strongs/strongs-h3' onclick='return ABMM("/Strongs","/strongs-h3");'>h3</a>)
5		אֲבַגְתָא	a.vag.ta	Abagtha	N:N-M-P	A man living at the time of Exile and Return, only mentioned at Est.1.10 § Abagtha = "God-given" one of the seven eunuchs in the Persian court of Ahasuerus
6		אָבַד	a.vad	to perish	H:V	 perish, vanish, go astray, be destroyed 1a) (Qal) 1a1) perish, die, be exterminated 1a2) perish, vanish (fig.) 1a3) be lost, strayed 1b) (Piel) 1b1) to destroy, kill, cause to perish, to give up (as lost), exterminate 1b2) to blot out, do away with, cause to vanish, (fig.) 1b3) cause to stray, lose 1c) (Hiphil) 1c1) to destroy, put to death 1c1a) of divine judgment 1c2) object name of kings (fig.) Aramaic equivalent: <i>a.vad</i> (אֲבַד "to destroy" <a href='/Strongs/strongs-h7' onclick='return ABMM("/Strongs","/strongs-h7");'>h7</a>)
7	in Aramaic of <a href='/Strongs/strongs-h6' onclick='return ABMM("/Strongs","/strongs-h6");'>h6</a>	אֲבַד	a.vad	to destroy	A:V	 to perish, vanish 1a) (P'al) shall perish 1b) (Aphel) destroy 1c) (Hophal) be destroyed
8		אֹבֵד	o.ved	destruction	H:N-M	destruction
