# File Name: Greek_Lexicon_Tyndale.txt
# File Size: 3873620     
# File Date: 06/01/2026 18:32:53
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Source: Tyndale House, Cambridge, www.TyndaleHouse.com
# Source Content: Extended Strong's Greek Lexicon
# Source Link: https://tyndale.github.io/STEPBible-Data
# Source Application: https://www.STEPBible.org
# Source Copyright: Creative Commons Attribution Non-Commercial 4.0
# Source Definitions: Uses Abbot-Smith or Middle Liddel or Mounce's Teknia when entries are missing. 
# Source Definitions: (AS) = Abbott Smith - from https://github.com/translatable-exegetical-tools/Abbott-Smith, with corrections and adapted by Tyndale Scholars. 
# Source Definitions: (ML) = Middle Liddell - from Perseus - used for Meaning in the Brief lexicon when there is no entry by (AS)
# Source Definitions: (MT) = Mounce's Teknia Greek dictionary - from www.billmounce.com/greek-dictionary (with permission) - used for Meaning in the Brief lexicon when there is no entry by (AS) or (ML)
#
# COLUMNS
#	STRONGS	Strong's number with extensions
#	WORD	Greek word in unicode lexical form. Based on LSJ but conforming to BADG when the difference may be confusing.
#	TRANS	Transliteration
#	GLOSS	A meaning in one word or as few as possible (by Tyndale scholars)
#	MORPH	Simple gramatical value of the main word represented as Language:Type-Gender-Extra
#	STRONGU	Unified Strong's entry and explanation
#	DEF		Definition, lexical entry.
#
#
STRONGS	STRONGU	WORD	TRANS	GLOSS	MORPH	DEF
24		ἀγανάκτησις	aganaktēsis	indignation	G:N-F	<b>ἀγανάκτησις</b>, -εως, ἡ (ἀγανακτέω), [in LXX: Est.18:3 א 1 *;] <b>indignation</b>: 2Co.7:11 (see MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
25		ἀγαπάω	agapaō	to love	G:V	<b>ἀγαπάω</b>, -ῶ, [in LXX chiefly for אהב;] <b>to love</b>, to feel and exhibit esteem and goodwill to a person, to prize and delight in a thing. 1) <b>Of human affection, to men</b>: τ. πλησίον, Mat.5:43; τ. ἐχθρούς, ib. 44; to Christ, Jhn.8:42; to God, Mat.22:37; with accusative of thing(s), Luk.11:43, Jhn.12:43, Eph.5:25, II Tim 4:8, 10, Heb.1:9, 1Pe.2:17, 3:10, 2Pe.2:15, 1Jn.2:15, Rev.12:11. 2) <b>Of divine love</b>; (a) <b>God's love</b>: to men, Rom.8:37; to Christ, Jhn.3:35; (b) <b>Christ's love</b>: to men, Mrk.10:21; to God, Jhn.14:31; with cogn. accusative, Jhn.17:26, Eph.2:4. <i>SYN.</i>: φιλέω. From its supposed etymology (Thayer, LS; but see also Boisacq) ἀ. is commonly understood properly to denote love based on esteem (diligo), as distinct from that expressed by φιλέω (amo), spontaneous natural affection, emotional and unreasoning. If this distinction holds, ἀ. is fitly used in NT of Christian love to God and man, the spiritual affection which follows the direction of the will, and which, therefore, unlike that feeling which is instinctive and unreasoned, can be commanded as a duty. (Cf. ἀγάπη, and <i>v</i>. Tr, <i>Syn</i>. §xii; Cremer, 9, 592; and esp. MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
26		ἀγάπη	agapē	love	G:N-F	<b>ἀγάπη</b>, -ης, ἡ [in LXX for אַהֲבָה, which is also rendered by ἀγάπησις and φιλία;] <b>love, goodwill, esteem</b>. Outside of bibl. and eccl. books, there is no clear instance (with Deiss, <i>LAE</i>, 18:4, 70:2, cf. the same writer in <i>Constr. Quar.</i>, ii, 4; and with MM, <i>VGT</i>, see word, cf. Dr. Moulton in <i>Exp. Times</i>, xxvi, 3, 139). In NT, like ἀγαπάω, -ῶ, 1) <b>Of men's love</b>: (a) to one another, Jhn.13:35; (b) to God, 1Jn.2:5. 2) <b>Of divine love</b>; (a) <b>God's love</b>: to men, Rom.5:8; to Christ, Jhn.17:26; (b) <b>Christ's love to men</b>: Rom.8:35. 3) In pl, <b>love feasts</b>: Ju 12 (<i>DB</i>, iii, 157). <i>SYN.</i>: φιλία. ἀ, signifying properly (see: ἀγαπάω) love which chooses its object, is taken over from LXX, where its connotation is more general, into NT, and there used exclusively to express that spiritual bond of love between God and man and between man and man, in Christ, which is characteristic of Christianity. It is thusdistinct from φιλία, <b>friendship</b> (Jas.4:4 only), στοργή, <b>natural affection</b> (in NT only in compounds, see: ἄστοργος) and ἔρως, <b>sexual love</b>, which is not used in NT, its place being taken by ἐπιθυμία. (Cf. ἀγαπάω; and see Abbott, <i>Essays</i>, 70f; <i>DB</i>, vol. i, 555; Cremer, 13, 593; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
27		ἀγαπητός	agapētos	beloved	G:A	<b>ἀγαπητός</b>, -ή, -όν (ἀγαπάω), [in LXX chiefly for יָתִיד, יָדִיד;] <b>beloved</b> (see M, <i>Pr.</i>, 221); (a) <b>by God</b>: of Christ, Mat.3:17; of men, Rom.1:7; (b) <b>by Christians, of one another</b>: 1Co.4:14; frequently as form of address, ib. 10:14; opposite to ἐχθρός, Rom.11:28 (see AR, <i>Eph.</i>, 229; Cremer, 17; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
28	the Greek of <a href='/Strongs/strongs-h1904' onclick='return ABMM("/Strongs","/strongs-h1904");'>h1904</a>	Ἄγαρ	Agar	Hagar	N:N-F-P	<b>Ἅγαρ</b> (Rec. Ἄ-), ἡ, indecl. (in FlJ, Ἀγάρα, -ης, Heb. הָגָר), <b>Hagar</b> (Gen.16): Gal.4:24,25. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
29		ἀγγαρεύω	angareuō	to force	G:V	<b>ἀγγαρεύω</b> (from the Persian; cf. Vg. angiare, and the Heb. אִגֶרֶת; on the orthogr, see Bl, §6, 1; M, <i>Pr.</i>, 46), <b>to impress</b> into public service, employ a courier; hence, <b>to compel</b> to perform a service (prob. common in the vernac; cf. Deiss, <i>BS</i>, 86f, MM, <i>Exp.</i>, iv; <i>VGT</i>, see word): Mat.5:41, 27:32, Mrk.15:21. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
30		ἀγγεῖον	angeion	jar	G:N-N	<b>ἀγγεῖον</b>, -ου, τό (ἄγγος), [in LXX chiefly for כְּלִי;] <b>a vessel</b> (see MM, <i>VGT</i>, see word): Mat.25:4. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
31		ἀγγελία	angelia	message	G:N-F	<b>ἀγγελία</b>, -ας, ἡ (ἄγγελος), [in LXX chiefly for שְׁמוּעָה;] <b>a message</b>: 1Jo.1:5, 3:11 (Cremer, 18; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
32G		ἄγγελος	angelos	angel	G:N-M	<b>ἄγγελος</b>, -ου, ὁ, [in LXX chiefly for מַלְאָךְ;] 1) <b>a messenger</b>, <b>one sent</b>: Mat.11:10, Jas.22:25. 2) As in LXX, in the special sense of <b>angel</b>, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as Luk.1:11, or to execute them, as Mat.4:6. The ἄ. in Rev.1:20-2:1, al, is variously understood as (1) <b>a messenger or delegate, </b> (2) <b>a bishop or ruler, </b> (3) <b>a guardian angel, </b> (4) the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, <i>Ap</i>), in l; DB, iv, 991; Thayer, see word; Cremer, 18; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
32H	a Meaning of <a href='/Strongs/strongs-g32G' onclick='return ABMM("/Strongs","/strongs-g32G");'>g32G</a>	ἄγγελος	angelos	angel: messenger	G:N-M	<b>ἄγγελος</b>, -ου, ὁ, [in LXX chiefly for מַלְאָךְ;] 1) <b>a messenger</b>, <b>one sent</b>: Mat.11:10, Jas.22:25. 2) As in LXX, in the special sense of <b>angel</b>, a spiritual, heavenly being, attendant upon God and employed as his messenger to men, to make known his purposes, as Luk.1:11, or to execute them, as Mat.4:6. The ἄ. in Rev.1:20-2:1, al, is variously understood as (1) <b>a messenger or delegate, </b> (2) <b>a bishop or ruler, </b> (3) <b>a guardian angel, </b> (4) the prevailing spirit of each church, i.e. the Church itself. (Cf. Swete, <i>Ap</i>), in l; DB, iv, 991; Thayer, see word; Cremer, 18; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
33	a Form of <a href='/Strongs/strongs-g71' onclick='return ABMM("/Strongs","/strongs-g71");'>g71</a>	ἄγε	age	to lead	G:V	<b>ἄγε</b>, prop. imperat. of ἄγω, <b>come!</b> used as <i>adv.</i> and addressed, like φέρε, <b>to one or more persons</b>: Jas.4:13, 5:1. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
34		ἀγέλη	agelē	herd	G:N-F	<b>ἀγέλη</b>, -ης, ἡ (ἄγω), [in LXX chiefly for עֵ֫דֶר;] <b>a herd</b>: Mat.8:30-32, Mrk.5:11, 13, Luk.8:32,33. (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
35		ἀγενεαλόγητος	agenealogētos	without genealogy	G:A	<b>ἀγενεαλόγητος</b>, -ον (γενεαλογέω), <b>without genealogy</b>, i.e. without recorded pedigree (cf. Neh.7:64): Heb.7:3 (Cremer, 152; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
36		ἀγενής	agenēs	lowly	G:A	<b>ἀγενής</b>, -ές (γένος), 1) <b>unborn</b> (Plat.); 2) <b>of no family, ignoble, base</b> (opposite to ἀγαθός, Soph, Fr, 105): opposite to εὐγενής, 1Co.1:28 (for exx. from π, see MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
37		ἁγιάζω	hagiazō	to sanctify	G:V	<b>ἁγιάζω</b>, Hellenistic form of ἁγίζω (ἅγιος), <b>to make holy, consecrate, sanctify</b>; [in LXX chiefly for קדשׁ pi, hi;] 1) <b>to dedicate, separate, set apart for God</b>; of things: Mat.23:17,19, 2Ti.2:21; of persons: Christ, Jhn.10:36, 17:19. 2) <b>to purify</b>, <b>make conformable in character to such dedication</b>: forensically, to free from guilt, 1Co.6:11, Eph.5:26, Heb.2:11, 10:10, 14, 29, 13:12; internally, by actual sanctification of life, Jhn.17:17, 19, Act.20:32, 26:18, Rom.15:16, 1Co.1:2, 7:14, 1Th.5:23, Rev.22:11; of a nonbeliever influenced by marriage with a Christian, 1Co.7:14. 3) <b>In the intermediate sense of ceremonial or levitical purification</b>: (a) of things, 2Ti.2:21; (b) of persons, Heb.9:13. 4) <b>to treat as holy</b>: Mat.6:9, Luk.11:2, 1Pe.3:16 (Cremer, 53, 602; MM, <i>VGT</i>, see word). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
38		ἁγιασμός	hagiasmos	holiness	G:N-M	<b>ἁγιασμός</b>, -οῦ, ὁ (ἁγιάζω), [in LXX: Eze.45:4 (מִקְדָּשׁ), Sir.7:31, etc;] as an active verbal noun in -μός, it signifies properly the process τὸ ἁγιάζειν, rather than the resultant state, ἁγιωσύνη, hence, 1) <b>consecration</b>; 2) <b>sanctification</b>: so strictly in Rom.6:19,22 (but see Meyer), 1Co.1:30, 1Th.4:3,7, 2Th.2:13, Heb.12:14, 1Pe.1:2. Elsewhere it perhaps (Ellic; but see Milligan, <i>Th.</i>, 48) inclines to the resultant state: 1Th.4:4, 1Ti.2:15 (Cremer, 55, 602). (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
39G	the Greek of <a href='/Strongs/strongs-h6944J' onclick='return ABMM("/Strongs","/strongs-h6944J");'>h6944J</a>	ἅγιον	hagion	Holy Place	G:A	<b>ἅγιος</b>, -α, ον (τό ἅγός, <b>religious awe</b>; ἅζω, <b>to venerate</b>), [in LXX chiefly for קֹ֫דֶשׁ;] primarily, <b>dedicated to the gods, sacred</b> (Hdt; rare in Att, never in Hom, Hes. and Trag, who use ἁγνός), hence, <b>holy</b>, characteristic of God, separated to God, worthy of veneration. 1) <b> Its highest application is to God himself, in his purity, majesty, and glory</b>: Luk.1:49, Jhn.17:11, Rev.4:8. Hence (a) of things and places which have a claim to reverence as sacred to God, e.g. the Temple: Mat.24:15, Heb.9:1; (b) <b>of persons employed by him, as angels</b>: 1Th.3:13; prophets, Luk.1:70; apostles, Eph.3:5. 2) <b>Applied to persons as separated to God's service</b>: (a) of Christ, Mrk.1:24, Jhn.6:69, Act.4:30; (b) of Christians, Act.9:13, Rom.1:7, Heb.6:10, Rev.5:8. 3) <b>In the moral sense of sharing God's purity</b>: Mrk.6:20, Jhn.17:11, Act.3:14, Rev.3:7. 4) <b>Of pure, clean sacrifices and offerings</b>: 1Co.7:14, Eph.1:4. <i>SYN.</i>: ἁγνός, <b>pure</b>, both in ceremonial and spiritual sense; ἱερός (sacer), <b>sacred</b>, that which is inviolable because of its (external) relation to God; ὅσιος (sanctus as opposite to nefas), that which is based on everlasting ordinances of right. (Cf. Tr, <i>Syn.</i>, §lxxxviii; <i>DB</i>, ii, 399 f; Cremer, 34, 594-601; MM, <i>VGT</i>, see word) (<a href="javascript:void(0)" title="Abbott Smith">AS</a>)
